idx, heading, dist, lfm POS, lfm VEL, lfm TRQ, lbm POS, lbm VEL, lbm TRQ, rfm POS, rfm VEL, rfm TRQ, rbm POS, rbm VEL, rbm TRQ
196, 0.348788, 5607.0, 7.91, -22.53333, 87.5947, 7.183333, -25.3, 49.57239, 8.806666, -28.4, 76.88353, 7.623333, -30.86667, 64.10499
197, 0.5190836, 5607.0, 7.883333, -24.7, 92.71647, 7.153333, -30.93333, 52.88476, 8.78, -26.33333, 77.39427, 7.593333, -32.06667, 65.35352
198, 0.6868878, 5604.0, 7.856667, -29.6, 98.38563, 7.12, -35.33333, 53.53654, 8.75, -29.8, 80.21184, 7.556667, -33.96667, 67.14948
199, 0.8400748, 5604.0, 7.82, -37.76667, 104.4452, 7.08, -38.46667, 53.09245, 8.716666, -35.7, 85.23016, 7.523334, -36.53333, 69.57453
200, 0.9870047, 5604.0, 7.78, -39.73333, 106.312, 7.04, -42.16667, 52.28767, 8.676666, -40.93334, 91.13538, 7.483333, -39.5, 71.53174
201, 1.337541, 5599.0, 7.696667, -41.13334, 106.4549, 6.956666, -42.53334, 50.45588, 8.59, -45.6, 100.6306, 7.396667, -45.76667, 74.56933
202, 1.487875, 5599.0, 7.66, -37.46667, 103.421, 6.91, -46.33333, 51.84812, 8.54, -50.93334, 104.8512, 7.346667, -50.06667, 75.22167
203, 1.625718, 5599.0, 7.62, -40.7, 99.00132, 6.86, -51.86666, 53.31836, 8.486667, -55.1, 105.1206, 7.296667, -53.73333, 75.82256
204, 1.827406, 5593.0, 7.576667, -43.0, 96.22867, 6.803333, -62.26667, 53.51445, 8.433333, -51.63333, 104.4495, 7.24, -54.63334, 76.14342
205, 2.083439, 5593.0, 7.53, -47.53334, 98.05755, 6.733333, -72.06666, 52.43278, 8.383333, -49.13333, 104.1313, 7.183333, -58.16667, 77.31507
206, 2.378838, 5593.0, 7.48, -49.23334, 97.30739, 6.66, -72.86667, 48.11452, 8.333333, -50.36666, 102.9368, 7.123333, -60.53333, 77.8709
207, 2.700061, 5587.0, 7.43, -49.26667, 97.54387, 6.586667, -73.06667, 41.47504, 8.283334, -50.4, 99.5001, 7.063334, -60.83333, 79.09083
208, 3.445107, 5587.0, 7.333333, -49.13333, 98.33481, 6.446667, -66.5, 28.02155, 8.17, -58.9, 97.34745, 6.933333, -67.26667, 81.89827
209, 3.827323, 5587.0, 7.283333, -52.8, 99.06945, 6.383333, -60.53333, 26.61737, 8.11, -60.9, 94.77481, 6.866667, -66.46667, 82.88117
210, 4.183286, 5578.0, 7.226666, -54.23334, 99.49, 6.326667, -59.1, 32.67004, 8.05, -62.93334, 91.41234, 6.803333, -66.43333, 83.56811
211, 4.509901, 1166.0, 7.173333, -54.26667, 98.67792, 6.263333, -64.6, 42.91635, 7.986667, -64.76667, 88.34056, 6.733333, -71.76667, 82.29769
212, 4.80716, 1166.0, 7.116667, -57.33333, 96.54656, 6.196667, -68.83334, 53.59611, 7.92, -65.53333, 83.46895, 6.66, -73.16667, 78.98984
213, 5.09234, 1157.0, 7.053333, -62.23333, 95.90679, 6.123333, -72.4, 62.56261, 7.853333, -68.46667, 79.54899, 6.586667, -71.56667, 75.85969
214, 5.383038, 1157.0, 6.993333, -64.43334, 93.21105, 6.046667, -79.26667, 67.16783, 7.786667, -64.0, 76.42839, 6.513333, -74.36667, 73.63818
215, 5.975096, 1137.5, 6.863333, -64.63333, 88.58134, 5.88, -86.36667, 59.51778, 7.66, -63.96667, 77.04425, 6.363333, -75.73333, 67.69989
216, 6.320437, 1126.0, 6.8, -64.03333, 86.42455, 5.793334, -84.03334, 50.94267, 7.596667, -63.06667, 78.56236, 6.29, -75.46667, 66.68462
217, 6.660492, 1107.0, 6.736667, -62.36667, 85.43211, 5.706666, -86.16667, 45.16672, 7.533333, -65.53333, 79.09384, 6.213333, -75.23333, 66.13667
218, 6.972445, 1107.0, 6.67, -65.6, 84.9966, 5.626667, -80.16666, 41.9077, 7.463333, -71.13333, 78.77131, 6.136667, -79.93333, 64.65992
219, 7.272555, 1107.0, 6.603333, -68.03333, 83.88426, 5.55, -73.96667, 42.71397, 7.39, -72.6, 76.21775, 6.056667, -79.03333, 63.43512
220, 7.528159, 1096.0, 6.533333, -70.96667, 82.23352, 5.476666, -74.26667, 46.41433, 7.316667, -76.26667, 71.33398, 5.976666, -79.36667, 61.53296
221, 7.747523, 1077.5, 6.463333, -71.2, 80.3637, 5.4, -77.73333, 50.92731, 7.243333, -74.1, 66.22103, 5.896667, -80.96667, 60.22382
222, 8.136673, 1065.0, 6.316667, -75.66667, 73.19425, 5.243333, -84.36667, 56.68044, 7.093333, -70.96667, 60.86041, 5.736667, -77.6, 58.8346
223, 8.314466, 1048.0, 6.24, -73.63333, 70.1702, 5.16, -84.36667, 55.72616, 7.02, -76.0, 59.84461, 5.656667, -81.1, 58.74123
224, 8.463592, 1048.0, 6.166667, -77.06666, 67.56198, 5.073333, -86.50001, 51.91864, 6.94, -79.13333, 59.2542, 5.576667, -79.13333, 58.71788
225, 8.574265, 1048.0, 6.086667, -78.36667, 64.94106, 4.99, -83.9, 48.56307, 6.86, -81.6, 57.41992, 5.496666, -80.56666, 59.38517
