idx, drive, strafe, turn, fwd, side, left, right, back, X, Y, THETA, Pxx, Pyy
41, 0, 0, -54.32917, 218.1147, -447.2991, 376.0006, 1068.0, 367.0, 397.3292, 2343.096, -46.16673, 0.5669723, 0.5656563
42, 0, 0, -46.63244, 218.1147, -447.2991, 376.0006, 1068.0, 431.5, 399.1018, 2346.147, -49.26782, 0.5769722, 0.5756563
43, 0, 0, -42.86109, 219.8303, -453.4921, 307.0204, 1068.0, 431.5, 397.0169, 2344.019, -52.32411, 0.5869722, 0.5856563
44, 0, 0, -39.17256, 219.8303, -453.4921, 307.0204, 1068.0, 450.0, 399.0437, 2346.789, -55.3412, 0.5969722, 0.5956563
45, 0, 0, -35.62709, 221.5814, -459.5345, 307.0204, 1068.0, 450.0, 396.8229, 2344.839, -58.29202, 0.6069722, 0.6056562
46, 0, 0, -32.20244, 221.5814, -459.5345, 307.0204, 1068.0, 564.5, 398.9775, 2347.241, -61.1284, 0.6169722, 0.6156563
47, 0, 0, -32.20244, 223.4522, -465.1823, 252.3125, 1068.0, 564.5, 396.8208, 2345.397, -63.86812, 0.6269722, 0.6256562
48, 0, 0, -28.9273, 223.4522, -465.1823, 252.3125, 1068.0, 598.0, 399.0058, 2347.425, -66.48823, 0.6369722, 0.6356563
49, 0, 0, -22.90074, 224.7379, -470.0898, 252.3125, 1068.0, 598.0, 396.9624, 2346.376, -68.95801, 0.6469722, 0.6456562
50, 0, 0, -20.14009, 224.7379, -470.0898, 211.317, 1068.0, 598.0, 399.0656, 2348.03, -71.30947, 0.6569722, 0.6556562
51, 0, 0, -17.63143, 225.753, -474.4165, 211.317, 1068.0, 598.0, 397.1951, 2347.382, -73.518, 0.6669722, 0.6656562
52, 0, 0, -17.63143, 225.753, -474.4165, 211.317, 1068.0, 817.9999, 399.0852, 2348.663, -75.52493, 0.6769722, 0.6756562
53, 0, 0, -13.27702, 226.6086, -477.2626, 211.317, 1068.0, 817.9999, 398.237, 2348.366, -77.36137, 0.6869721, 0.6856562
54, 0, 0, -11.50289, 226.6086, -477.2626, 200.7461, 1068.0, 817.9999, 399.8463, 2349.327, -79.00846, 0.6969721, 0.6956562
55, 0, 0, -9.979572, 227.349, -479.4038, 200.7461, 1068.0, 1156.5, 399.2499, 2349.061, -80.42776, 0.7069721, 0.7056561
56, 0, 0, -8.718901, 227.349, -479.4038, 200.7461, 1068.0, 1156.5, 400.4696, 2349.721, -81.64641, 0.7169721, 0.7156562
57, 0, 0, -8.718901, 228.2046, -480.8046, 193.9772, 1068.0, 1156.5, 400.1985, 2349.234, -82.65494, 0.7269721, 0.7256561
58, 0, 0, -6.816301, 228.2046, -480.8046, 193.9772, 1068.0, 1156.5, 401.0391, 2349.658, -83.4824, 0.7369721, 0.7356562
59, 0, 0, -6.104708, 228.7897, -481.78, 193.9772, 1068.0, 1140.0, 400.8337, 2349.331, -84.17703, 0.7469721, 0.7456561
60, 0, 0, -5.523005, 228.7897, -481.78, 193.9772, 1068.0, 1140.0, 401.4177, 2349.611, -84.7463, 0.7569721, 0.7556561
61, 0, 0, -5.024376, 229.1045, -482.5602, 191.488, 1068.0, 1140.0, 401.144, 2349.461, -85.21167, 0.7669721, 0.7656561
62, 0, 0, -4.592657, 229.1045, -482.5602, 191.488, 1068.0, 1136.0, 401.5558, 2349.652, -85.61057, 0.7769721, 0.7756561
63, 0, 0, -4.592657, 229.53, -483.1055, 191.488, 1068.0, 1136.0, 401.398, 2349.353, -85.95594, 0.786972, 0.7856561
