dx, heading, dist, lfm CMD, lfm POS, lfm VEL, lfm TRQ, lbm CMD, lbm POS, lbm VEL, lbm TRQ, rfm CMD, rfm POS, rfm VEL, rfm TRQ, rbm CMD, rbm POS, rbm VEL, rbm TRQ
327, 0.3, 364.5, -3.2, 4.9, 3.5, 0.0, 2.5, 0.2, 15.0, 0.0, 3.5, -0.0, 13.5, 0.6, -2.2, 4.7, -6.7, 4.5
328, 0.5, 367.5, -3.2, 4.9, 3.5, 0.0, -1.5, 0.2, 12.3, 0.0, -0.1, 0.0, 11.0, 0.0, -1.8, 4.7, -6.6, 3.0
329, 0.6, 367.5, -3.1, 4.9, 3.5, 0.0, -0.5, 0.2, 13.9, 0.0, 1.3, 0.0, 9.5, 0.0, -1.3, 4.7, -6.0, 1.3
330, 0.7, 370.5, -2.8, 4.9, 3.5, 0.0, -3.2, 0.2, 16.6, 0.0, -1.1, 0.0, 7.5, 0.0, -0.8, 4.7, -5.4, 0.0
331, 0.7, 372.0, -3.5, 4.9, 3.5, 0.0, -2.9, 0.3, 14.5, 0.0, -0.6, 0.0, 7.5, 0.0, -1.2, 4.7, -4.8, 0.0
332, 0.8, 372.0, -2.5, 4.9, 1.6, 0.0, -4.8, 0.3, 11.2, 0.0, -2.5, 0.0, 7.5, 0.0, -0.2, 4.7, -4.3, 0.0
333, 0.7, 372.0, -2.4, 4.9, -0.0, 0.0, -3.7, 0.3, 8.8, 0.8, -1.5, 0.0, 3.5, 0.0, -0.1, 4.7, -3.5, 0.0
334, 0.7, 374.5, -1.9, 4.9, -1.3, 0.0, -5.3, 0.3, 8.2, 3.5, -3.1, 0.0, 2.6, 0.0, 0.3, 4.7, -3.5, 0.0
335, 0.7, 375.5, -2.6, 4.9, -2.8, 0.0, -5.0, 0.3, 6.0, 6.1, -2.7, 0.0, 2.5, 0.0, -0.4, 4.7, -3.5, 0.0
336, 0.7, 375.5, -1.9, 4.9, -2.8, 0.0, -5.4, 0.3, 6.0, 8.6, -3.2, 0.0, 2.4, 0.0, 0.3, 4.7, -3.5, 0.0
337, 0.7, 375.5, -2.0, 4.9, -2.8, 0.0, -4.5, 0.3, 6.0, 11.0, -2.3, 0.0, 2.4, 0.0, 0.2, 4.7, -3.5, 0.0
338, 0.7, 375.0, -2.0, 4.9, -2.8, 0.4, -4.5, 0.3, 6.0, 13.7, -2.3, 0.0, 2.4, 0.0, 0.2, 4.7, -4.0, 0.0
339, 0.7, 376.0, -3.1, 4.9, -2.8, 2.3, -1.1, 0.3, 6.0, 13.6, 1.1, 0.0, 2.4, 0.0, -0.9, 4.7, -4.0, 0.0
340, 0.7, 376.0, -5.1, 4.9, -2.8, 2.6, -1.1, 0.3, 6.0, 12.3, 1.1, 0.0, 3.3, 0.0, -2.9, 4.7, -4.0, 0.0
341, 0.7, 375.5, -7.1, 4.9, -3.2, 2.7, -1.1, 0.3, 5.9, 10.7, 1.1, 0.0, 3.3, 0.0, -4.9, 4.7, -4.0, 0.0
