idx, fwd, side, left, right, back, X, Y, THETA, Pxx, Pyy
45, 0.0, 0.0, 9999.0, 649.0, 225.5, 359.2381, 2753.313, -0.03401344, 0.2229678, 0.2442962
46, 0.0, 0.0, 9999.0, 649.0, 226.0, 359.3379, 2753.312, -0.03292182, 0.1971116, 0.2642962
47, 0.0, 0.0, 9999.0, 649.0, 226.0, 359.3413, 2753.304, -0.02537458, 0.2071116, 0.2742962
48, 0.0, 0.0, 9999.0, 652.0, 226.0, 359.3382, 2753.312, -0.03236043, 0.2071116, 0.2742962
49, 0.0, 0.0, 9999.0, 652.0, 225.0, 359.3057, 2753.205, -0.02746489, 0.2039517, 0.2589136
50, 0.0, 0.0, 9999.0, 652.0, 225.0, 359.323, 2753.162, 0.01153842, 0.2139517, 0.2689136
51, 0.0, 0.0, 9999.0, 652.0, 225.0, 359.3824, 2753.015, 0.1443649, 0.2239517, 0.2789136
52, 0.0, 0.0, 9999.0, 652.0, 225.0, 359.3824, 2753.015, 0.1443649, 0.2239517, 0.2789136
53, -0.7242097, 1.838378, 9999.0, 651.0, 226.0, 359.5098, 2752.694, 1.066675, 0.1977525, 0.262446
54, -0.7242097, 1.838378, 9999.0, 651.0, 226.0, 359.88, 2751.863, 1.828887, 0.2077525, 0.272446
55, -2.924693, 10.16679, 9999.0, 651.0, 226.0, 359.5718, 2753.299, 2.910051, 0.2077525, 0.272446
56, -2.924693, 10.16679, 9999.0, 652.0, 227.0, 360.3792, 2751.74, 4.280519, 0.2044684, 0.2574941
57, -6.852138, 21.79593, 9999.0, 652.0, 227.0, 359.65, 2753.526, 5.942198, 0.2144685, 0.2674941
58, -6.852138, 21.79593, 9999.0, 652.0, 227.0, 360.8145, 2751.559, 7.857787, 0.2244684, 0.2774941
59, -12.11658, 37.46392, 9999.0, 652.0, 227.0, 359.6109, 2753.965, 10.01831, 0.2344685, 0.2874941
60, -12.11658, 37.46392, 9999.0, 652.0, 227.0, 361.2633, 2751.64, 12.40792, 0.2444685, 0.2974941
61, -17.99383, 56.79475, 9999.0, 652.0, 227.0, 359.6377, 2754.604, 14.98096, 0.2544685, 0.3074941
62, -17.99383, 56.79475, 9999.0, 652.0, 227.0, 361.746, 2752.165, 17.68237, 0.2644685, 0.3174941
63, -25.45876, 76.87764, 9999.0, 652.0, 227.0, 359.4993, 2754.755, 20.52489, 0.2744684, 0.327494
64, -25.45876, 76.87764, 9999.0, 652.0, 227.0, 362.0602, 2752.346, 23.47096, 0.2844684, 0.337494
65, -25.45876, 76.87764, 9999.0, 652.0, 227.0, 362.0602, 2752.346, 23.47096, 0.2844684, 0.337494
66, -32.92369, 97.07195, 9999.0, 652.0, 227.0, 362.4456, 2752.492, 29.38108, 0.3044684, 0.357494
67, -40.51396, 118.4919, 9999.0, 652.0, 227.0, 359.5585, 2754.818, 32.33961, 0.3144684, 0.367494
68, -40.51396, 118.4919, 9999.0, 652.0, 227.0, 362.5569, 2752.984, 35.28422, 0.3244684, 0.377494
69, -47.7282, 138.9368, 9999.0, 652.0, 227.0, 359.6527, 2754.892, 38.15916, 0.3344684, 0.387494
70, -47.7282, 138.9368, 9999.0, 652.0, 227.0, 362.6863, 2753.425, 40.98234, 0.3444684, 0.397494
71, -55.44383, 158.2816, 9999.0, 652.0, 227.0, 359.6551, 2754.721, 43.77422, 0.3544684, 0.407494
72, -55.44383, 158.2816, 9999.0, 652.0, 227.0, 362.6782, 2753.599, 46.47611, 0.3644684, 0.417494
73, -63.27086, 175.4119, 9999.0, 652.0, 227.0, 359.7785, 2754.233, 49.01741, 0.3744684, 0.427494
74, -63.27086, 175.4119, 9999.0, 652.0, 227.0, 359.7785, 2754.233, 49.01741, 0.3744684, 0.427494
75, -69.76089, 190.4671, 9999.0, 652.0, 227.0, 360.2912, 2753.848, 53.8816, 0.3944683, 0.4474939
76, -69.76089, 190.4671, 9999.0, 652.0, 227.0, 362.9166, 2753.34, 56.12201, 0.4044683, 0.4574939
77, -75.27603, 204.5475, 9999.0, 652.0, 227.0, 360.7129, 2753.717, 58.28147, 0.4144683, 0.4674939
78, -75.27603, 204.5475, 9999.0, 652.0, 227.0, 363.2145, 2753.421, 60.39194, 0.4244683, 0.4774939
79, -81.02793, 217.6389, 9999.0, 652.0, 227.0, 361.052, 2753.45, 62.39558, 0.4344683, 0.4874939
80, -81.02793, 217.6389, 9999.0, 652.0, 227.0, 363.3415, 2753.333, 64.31618, 0.4444683, 0.4974939
81, -85.55424, 228.2932, 9999.0, 652.0, 227.0, 361.9119, 2753.281, 66.20568, 0.4544683, 0.5074939
82, -85.55424, 228.2932, 9999.0, 652.0, 227.0, 364.0895, 2753.309, 68.03022, 0.4644683, 0.5174939
83, -88.74354, 237.3458, 9999.0, 652.0, 227.0, 363.1384, 2753.396, 69.79449, 0.4744683, 0.5274939
84, -88.74354, 237.3458, 9999.0, 652.0, 227.0, 365.2569, 2753.554, 71.5743, 0.4844683, 0.5374939
85, -91.68216, 248.7382, 9999.0, 652.0, 227.0, 363.7325, 2753.87, 73.44484, 0.4944683, 0.5474939
86, -91.68216, 248.7382, 9999.0, 652.0, 227.0, 366.0401, 2754.201, 75.39798, 0.5044683, 0.5574939
87, -96.93268, 260.2419, 9999.0, 652.0, 227.0, 364.4141, 2753.716, 77.3537, 0.5144682, 0.5674939
88, -96.93268, 260.2419, 9999.0, 652.0, 227.0, 366.7695, 2754.225, 79.37249, 0.5244682, 0.5774939
89, -103.6734, 272.6092, 9999.0, 652.0, 227.0, 365.0527, 2753.237, 81.50357, 0.5344682, 0.5874938
90, -103.6734, 272.6092, 9999.0, 652.0, 227.0, 367.5574, 2753.983, 83.69318, 0.5444682, 0.5974938
91, -109.676, 286.1881, 9999.0, 155.0, 227.0, 362.3438, 2753.148, 85.89351, 0.4341164, 0.6074938
92, -109.676, 286.1881, 9999.0, 155.0, 227.0, 364.8818, 2754.128, 88.17286, 0.4441164, 0.6174938
93, -115.1772, 302.1069, 9999.0, 155.0, 227.0, 362.4554, 2753.351, 90.53536, 0.4541163, 0.6274938
94, -115.1772, 302.1069, 9999.0, 165.0, 227.0, 364.1663, 2754.596, 92.92161, 0.3767, 0.6374938
95, -120.567, 317.7748, 9999.0, 165.0, 227.0, 361.9286, 2753.685, 95.32197, 0.3867, 0.6474938
